Wall time,Step,Value
1524767102.6151145,0,0.20829875767230988
1524767196.2414236,1,0.2307053953409195
1524767283.985482,2,0.2580913007259369
1524767376.438461,3,0.22692307829856873
1524767461.647772,4,0.21410788595676422
1524767548.5090058,5,0.2531120181083679
1524767626.4689858,6,0.2243243157863617
1524767710.3395653,7,0.20663900673389435
1524767800.6301339,8,0.23692308366298676
1524767884.9631588,9,0.20580913126468658
1524767968.9672048,10,0.2514522671699524
1524768053.0830936,11,0.23402489721775055
1524768137.8298368,12,0.23236514627933502
1524768220.8483996,13,0.24979253113269806
1524768305.3930676,14,0.2398340255022049
1524768389.119387,15,0.24066390097141266
1524768473.1392646,16,0.24232365190982819
1524768557.519155,17,0.21576763689517975
1524768654.6440637,18,0.22461538016796112
1524768745.3464746,19,0.22655601799488068
1524768827.7161932,20,0.2432432472705841
1524768926.403105,21,0.23076923191547394
1524769006.5219817,22,0.21441441774368286
1524769098.5903513,23,0.23461538553237915
1524769183.4892302,24,0.2307053953409195
1524769269.7659333,25,0.23568464815616608
1524769348.5637023,26,0.24504505097866058
1524769444.420318,27,0.23692306876182556
1524769538.2762792,28,0.23817427456378937
1524769629.0231128,29,0.25477176904678345
1524769722.053555,30,0.2672199308872223
1524769817.6338184,31,0.2697095572948456
1524769907.5115802,32,0.2846473157405853
1524769998.5727394,33,0.2572614252567291
1524770089.309895,34,0.27053940296173096
1524770183.2912855,35,0.30705395340919495
1524770283.8314714,36,0.33307692408561707
1524770378.688489,37,0.30041494965553284
1524770471.436337,38,0.31369295716285706
1524770564.1305559,39,0.28630706667900085
1524770645.5837412,40,0.3027026951313019
1524770738.4441411,41,0.3153846263885498
1524770824.498002,42,0.3518672287464142
1524770914.8753355,43,0.3510373532772064
1524771011.8508885,44,0.36461538076400757
1524771092.9284627,45,0.39459457993507385
1524771182.6136856,46,0.44149377942085266
1524771273.0328193,47,0.39834025502204895
1524771367.6748261,48,0.4000000059604645
1524771451.8948667,49,0.45495495200157166
1524771544.0209837,50,0.41659751534461975
1524771641.3240018,51,0.3384615480899811
1524771733.7587812,52,0.36597511172294617
1524771816.9429882,53,0.44054052233695984
1524771914.3471084,54,0.45692306756973267
1524772003.4384272,55,0.3062240779399872
1524772093.8916478,56,0.39170125126838684
1524772190.4750905,57,0.4284615218639374
1524772275.4762385,58,0.4405405521392822
1524772362.307899,59,0.4730290472507477
1524772448.943344,60,0.4821576774120331
1524772538.7960625,61,0.4954356849193573
1524772627.9637067,62,0.49211618304252625
1524772724.7447283,63,0.5346153974533081
1524772818.3908112,64,0.5493776202201843
1524772910.2963755,65,0.5377593636512756
1524773003.4661531,66,0.571784257888794
1524773096.2742407,67,0.44896265864372253
1524773189.2018445,68,0.4954356849193573
1524773281.7107854,69,0.54356849193573
1524773369.4160519,70,0.5726141333580017
1524773461.765799,71,0.5419086813926697
1524773555.9896605,72,0.5037344098091125
1524773646.0951579,73,0.5933610200881958
1524773747.809358,74,0.6074689030647278
1524773842.3637543,75,0.6182572841644287
1524773945.1256547,76,0.642307698726654
1524774049.7985055,77,0.5311203002929688
1524774147.057281,78,0.5189189314842224
1524774256.5153332,79,0.5830768942832947
1524774352.6316345,80,0.6132780313491821
1524774449.7781713,81,0.6547718048095703
1524774545.6707535,82,0.652282178401947
1524774637.542957,83,0.6705394387245178
1524774723.0439913,84,0.7004149556159973
1524774811.6693258,85,0.7004149556159973
1524774905.3143144,86,0.7038461565971375
1524774986.9063735,87,0.6900900602340698
1524775091.6658952,88,0.7300000190734863
1524775177.468317,89,0.7135134935379028
1524775279.2455301,90,0.7200000286102295
1524775372.2311032,91,0.7419087290763855
1524775459.9669917,92,0.7477178573608398
1524775543.4040606,93,0.707207202911377
1524775639.9026754,94,0.7584615349769592
1524775720.9390526,95,0.7621621489524841
1524775813.5429971,96,0.7046154141426086
1524775899.9682338,97,0.7643153667449951
1524775985.4471636,98,0.7651452422142029
1524776071.3335485,99,0.8041493892669678
1524776156.0426009,100,0.8182572722434998
1524776240.9256642,101,0.8464730381965637
1524776331.3409107,102,0.8453845977783203
1524776421.790827,103,0.8788381814956665
1524776501.003433,104,0.7297297120094299
1524776587.147241,105,0.712033212184906
1524776681.5929995,106,0.7238461375236511
1524776768.4088988,107,0.831535279750824
1524776855.2931728,108,0.8514522910118103
1524776942.0101228,109,0.8116182684898376
1524777028.5820107,110,0.8431535363197327
1524777114.8616803,111,0.6614108085632324
1524777203.4247968,112,0.697925329208374
1524777290.451291,113,0.7510373592376709
1524777381.4117086,114,0.8215767741203308
1524777471.2438486,115,0.845643162727356
1524777562.5009568,116,0.8265560269355774
1524777651.5517774,117,0.7070539593696594
1524777743.2638838,118,0.7792307734489441
1524777821.6624641,119,0.8036035895347595
1524777920.0841515,120,0.7930769324302673
1524778009.7652123,121,0.8531120419502258
1524778088.5883892,122,0.8891891837120056
1524778180.501746,123,0.9092307686805725
1524778266.1472101,124,0.9161825776100159
1524778352.621408,125,0.9170124530792236
1524778444.492265,126,0.880497932434082
1524778534.674028,127,0.8763485550880432
1524778625.67195,128,0.8381742835044861
1524778719.2504199,129,0.8929460644721985
1524778812.0739632,130,0.9269709587097168
1524778903.4113367,131,0.8887966871261597
1524778995.1631389,132,0.891286313533783
1524779087.0276196,133,0.9037344455718994
1524779180.5277345,134,0.9284615516662598
1524779261.9131963,135,0.930630624294281
1524779357.9854352,136,0.9438461661338806
1524779446.8739555,137,0.9062240719795227
1524779526.2968168,138,0.9396396279335022
1524779621.1198175,139,0.9630769491195679
1524779713.9853017,140,0.9700000286102295
1524779798.6754997,141,0.9819819927215576
1524779884.5712688,142,0.9775933623313904
1524779985.1376073,143,0.9753846526145935
1524780082.3220747,144,0.968464732170105
1524780170.0472705,145,0.9495495557785034
1524780266.5018847,146,0.9244813323020935
1524780371.2433333,147,0.9123076796531677
1524780467.5696182,148,0.9551867246627808
1524780566.2635746,149,0.9659751057624817
1524780663.5450127,150,0.9784232378005981
1524780760.0691566,151,0.9344398379325867
1524780856.1998668,152,0.8199170231819153
1524780951.792461,153,0.8846473097801208
1524781046.8336701,154,0.9510373473167419
1524781141.7771966,155,0.9734439849853516
1524781235.5371783,156,0.8481327891349792
1524781330.2312589,157,0.894605815410614
1524781425.2493658,158,0.9336099624633789
1524781520.359123,159,0.7925311326980591
1524781618.408716,160,0.42074689269065857
1524781709.1910226,161,0.5867220163345337
1524781811.3002064,162,0.7092307806015015
1524781897.081002,163,0.7828828692436218
1524781989.1989572,164,0.7186722159385681
1524782088.4622157,165,0.823846161365509
1524782184.3809533,166,0.7975103855133057
1524782272.470895,167,0.817427396774292
1524782358.031648,168,0.9012448191642761
1524782449.6160727,169,0.9153527021408081
1524782541.0480795,170,0.9551867246627808
1524782632.1003792,171,0.9377593398094177
1524782724.5254738,172,0.9526970982551575
1524782816.971686,173,0.8331950306892395
1524782917.0570407,174,0.892307698726654
1524783001.694837,175,0.9189189076423645
1524783089.3283803,176,0.9560166001319885
1524783181.3170516,177,0.9576923251152039
1524783268.40625,178,0.9643153548240662
1524783353.5679424,179,0.9850622415542603
1524783444.2828538,180,0.9850622415542603
1524783533.803805,181,0.9726141095161438
1524783621.8854082,182,0.9701244831085205
1524783715.1971335,183,0.9883817434310913
1524783808.5936744,184,0.9792531132698059
1524783900.4361842,185,0.9784232378005981
1524783998.8266091,186,0.9630769491195679
1524784084.5392344,187,0.9711712002754211
1524784176.3844805,188,0.9742738604545593
1524784274.6687496,189,0.9453846216201782
1524784360.4413857,190,0.9720720648765564
1524784458.5402133,191,0.9800000190734863
1524784547.0820303,192,0.9817427396774292
1524784632.4263325,193,0.976576566696167
1524784727.636791,194,0.9353846311569214
1524784818.6920366,195,0.9734439849853516
1524784906.8580294,196,0.9834024906158447
1524785000.3575993,197,0.9900414943695068
1524785091.687544,198,0.9900414943695068
1524785191.8693354,199,0.9861538410186768
1524785276.025285,200,0.9747747778892517
1524785375.1717691,201,0.9746153950691223
1524785465.3182497,202,0.9917012453079224
1524785546.0881476,203,0.9900900721549988
1524785640.4803035,204,0.9900000095367432
1524785730.840454,205,0.982572615146637
1524785819.474163,206,0.9941908717155457
1524785904.40955,207,0.9882882833480835
1524786002.9939823,208,0.9884615540504456
1524786092.8430238,209,0.9958506226539612
1524786181.4159958,210,0.9975103735923767
1524786273.476731,211,0.996680498123169
1524786362.9309208,212,0.9958506226539612
1524786465.7619913,213,0.9969230890274048
1524786553.1446621,214,0.9809128642082214
1524786634.1839776,215,0.9594594836235046
1524786730.3890948,216,0.9453846216201782
1524786813.8059626,217,0.9450450539588928
1524786905.1801958,218,0.9551867246627808
1524786997.8590775,219,0.9692307710647583
1524787084.6875184,220,0.9759336113929749
1524787172.9756563,221,0.9809128642082214
1524787261.0635312,222,0.9867219924926758
1524787354.4119458,223,0.9867219924926758
1524787445.9929316,224,0.9883817434310913
1524787532.164476,225,0.9867219924926758
1524787623.9605782,226,0.9692946076393127
1524787721.7366428,227,0.9807692170143127
1524787811.917307,228,0.9933609962463379
1524787894.9625866,229,0.9918919205665588
1524787991.760286,230,0.986923098564148
1524788074.2597442,231,0.9846847057342529
1524788170.6061606,232,0.9807692170143127
1524788258.261115,233,0.9933609962463379
1524788350.0052648,234,0.9975103735923767
1524788437.2272396,235,0.9945945739746094
1524788533.7453818,236,0.9969230890274048
1524788622.8232481,237,0.996680498123169
1524788708.4936638,238,1.0
1524788799.8328452,239,0.9991701245307922
1524788894.9502826,240,0.9976922869682312
1524788978.6672158,241,1.0
1524789067.745805,242,0.9983402490615845
1524789162.5938454,243,0.9992307424545288
1524789244.2779052,244,0.99909907579422
1524789334.60633,245,1.0
1524789425.8696375,246,1.0
1524789520.883568,247,0.9961538314819336
1524789614.5029838,248,0.9809128642082214
1524789697.2959201,249,0.9351351261138916
